user_id	playtime_forever	playtime_2weeks	appid
	242		34030
	0		34330
	0		211160
	0		217060
	0		220440
	447		227300
	141		11020
	216		109400
	275		113400
	237		208090
	9		212070
	185		218230
	1686		230410
	14425	239	236390
	17		238960
	195		272350
	0		107400
	107		209870
	0		221040
	0		65790
	0		242860
	366		233250
	613		231430
	0		204530
	0		45740
	0		246900
	0		255520
	0		265210
	326		239030
	0		214560
	0		248530
	234		248820
	522		206420
	244		219640
	342		252490
	16015		252950
	0		214950
	482		49520
	0		243040
	0		242050
	0		233130
	0		262280
	6		16700
	8		40970
	89		265930
	50		211820
	0		367540
	764		268650
	0		269210
	818		8930
	0		271550
	0		271570
	6722		271590
	0		274190
	583		222880
	183		239160
	0		278490
	0		235210
	162		281990
	0		283310
	0		233290
	4054		295110
	0		362300
	144		433850
	0		439700
	15		296910
	2		297020
	0		351030
	0		300080
	396		301520
	48		304050
	69		304930
	0		9480
	121		55230
	146		310380
	57		311310
	73		311690
	0		311870
	0		313140
	556		227940
	79		296470
	0		233720
	0		318600
	0		238010
	0		8080
	0		28000
	945		8500
	101		321040
	0		22100
	339		48700
	0		48720
	0		265550
	0		232890
	0		241930
	0		9340
	0		20540
	0		289650
	1189		218620
	722		333420
	369		333930
	116		322330
	45		219150
	0		274170
	0		341190
	0		304240
	21		342370
	168		332500
	1084		344760
	0		301910
	80		346010
	868		346110
	0		407530
	922		325610
	163		244850
	0		333950
	0		349110
	656		107410
	0		351300
	0		311560
	0		355920
	0		235540
	0		45770
	1170		363970
	0		368990
	815		377160
	292		381210
	1968		386360
	0		390670
	89		352460
	498		393420
	0		445900
	1251		394360
	411		397340
	487		234140
	0		15700
	61		413150
	3521		378120
	0		368500
	0		421120
	0		423810
	0		424830
	0		339340
	0		270880
	1180		427520
	250		394310
	52		105450
	0		221380
	0		266840
	0		287450
	0		355950
	390		437220
	1		34270
	23		205230
	0		205950
	361		444090
	0		596350
	496		447820
	27		449540
	1402		364360
	656		275850
	0		452060
	17		207140
	0		474750
	0		477160
	0		390340
	50		489460
	0		48000
	113		442080
	0		319630
	738		505460
	530		497180
	0		512470
	0		234630
	46		533200
	432		534500
	2		537180
	10069		482730
	0		482750
	217		562590
	961		578080
	553		588650
	863		415200
	417		641990
7.65612E+16	53		4000
	1581		220
	0		320
	18		340
	0		360
	393		380
	134		400
	96		420
	139		6060
	5941		40920
	414		550
	0		223530
	75		22370
	1		42680
	13		42690
	0		205790
	212		200710
	44		221300
	1		212500
	130		230410
	9		246280
	46		253710
	69		8870
	80		72850
	9		218620
	14		209000
	73		239820
	1244		252490
	149		252950
	66		221100
	36		298240
	31		304930
	30		312990
	0		222900
	119		272510
	39		221380
	15728		730
	0		333930
	331		250900
	14		339610
	1		339600
	45		346110
	0		407530
	1908		346900
	3		342480
	137		348360
	0		339280
	221		363970
	0		386360
	1820		291550
	184		352460
	133		394310
	0		236110
	0		489830
7.65612E+16	516		47890
	124		72850
	333		49520
	366		223470
	14		260430
	1		291210
	11		233720
	87		333930
	223		333950
	0		349110
	72		354140
	86		350080
	35		352460
7.65612E+16	1531		240
	84		300
	40		320
	32		340
	31		20
	16804		4000
	0		2590
	98		12900
	23		15120
	0		50
	0		70
	0		130
	0		220
	0		280
	1		360
	1		380
	0		420
	18		6060
	4		34900
	0		17450
	349		550
	0		223530
	0		41000
	18		564310
	0		24980
	0		40100
	0		41010
	315		33930
	0		219540
