steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
404100,STEEL STRIDER,game,5.99,2015-11-12 00:00:00,,,1,0.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/404100/header.jpg?t=1451112677
404420,Sun Dogs,game,9.99,2015-10-29 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/404420/header.jpg?t=1447378161
404480,SC2VN - The eSports Visual Novel,game,0.0,2015-09-22 00:00:00,,801.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/404480/header.jpg?t=1447378164
404630,One Hundred Ways,game,9.99,2015-10-23 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/404630/header.jpg?t=1463083930
404820,Ragdoll Runners,game,4.99,2016-07-13 00:00:00,,126.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/404820/header.jpg?t=1469796954
405000,UTOPIA 9 - A Volatile Vacation,game,11.99,2016-05-05 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/405000/header.jpg?t=1494176009
405290,Charlie Murder,game,9.99,2017-05-12 00:00:00,,160.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/405290/header.jpg?t=1494612842
405500,Dangerous Golf,game,19.99,2016-06-02 00:00:00,54.0,480.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/405500/header.jpg?t=1498559691
405530,Veer,game,2.99,2016-04-13 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/405530/header.jpg?t=1483704499
405540,Ninja Senki DX,game,4.99,2016-02-23 00:00:00,72.0,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/405540/header.jpg?t=1490975297
405760,Robot Squad Simulator 2017,game,14.99,2016-10-20 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/405760/header.jpg?t=1480071891
405780,Alpha Polaris : A Horror Adventure Game,game,9.99,2015-10-21 00:00:00,,121.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/405780/header.jpg?t=1447378225
405820,Turok,game,19.99,2015-12-17 00:00:00,,1329.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/405820/header.jpg?t=1468857285
405900,Disgaea PC,game,14.99,2016-02-24 00:00:00,74.0,1922.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/405900/header.jpg?t=1485454845
406090,Lost Moon,game,3.99,2015-09-28 00:00:00,,382.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/406090/header.jpg?t=1501383330
406150,Refunct,game,2.99,2015-10-16 00:00:00,,7983.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/406150/header.jpg?t=1501309643
406170,Vortex: The Gateway,game,7.99,2016-03-22 00:00:00,,303.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/406170/header.jpg?t=1491560676
406220,Gnomes Vs. Fairies: Greckel's Quest,game,9.99,2016-07-01 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/406220/header.jpg?t=1485830856
406290,Twilight Struggle,game,14.99,2016-04-13 00:00:00,,632.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/406290/header.jpg?t=1506332353
406410,Minigolf VR,game,4.99,2016-03-30 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/406410/header.jpg?t=1459984711
406720,Alekhine's Gun,game,39.99,2016-03-11 00:00:00,40.0,214.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/406720/header.jpg?t=1469131198
406830,Professor Teaches OneNote 2016,game,14.99,2016-03-21 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/406830/header.jpg?t=1461013524
406840,Professor Teaches Outlook 2016,game,14.99,2015-10-12 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/406840/header.jpg?t=1461013526
407690,R.B.I. Baseball 16,game,19.99,2016-03-29 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/407690/header.jpg?t=1461341387
407900,Princess Remedy in a World of Hurt,game,0.0,2016-01-01 00:00:00,,1894.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/407900/header.jpg?t=1473450252
407940,Hyper Bounce Blast,game,4.99,2016-05-27 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/407940/header.jpg?t=1479146021
408030,UniBall,game,0.0,2017-02-24 00:00:00,,146.0,1,0.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/408030/header.jpg?t=1490416152
408110,Planet R-12,game,4.99,2016-05-05 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/408110/header.jpg?t=1504126916
408170,Networm,game,1.99,2015-10-27 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/408170/header.jpg?t=1447378352
408520,FORM,game,14.99,2017-06-01 00:00:00,81.0,248.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/408520/header.jpg?t=1506979685
408930,ePic Character Generator,game,0.0,2015-11-05 00:00:00,,125.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/408930/header.jpg?t=1505548978
409000,Mystery Chronicle: One Way Heroics,game,9.99,2016-09-12 00:00:00,,202.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/409000/header.jpg?t=1478567892
409020,The Stanford Ocean Acidification Experience,game,0.0,2016-10-17 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/409020/header.jpg?t=1476829541
409370,Monster RPG 2,game,1.99,2015-10-12 00:00:00,,,1,0.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/409370/header.jpg?t=1506445096
409410,Clumsy Moose Season,game,3.99,2016-03-02 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/409410/header.jpg?t=1459465051
409450,The Fall of the Dungeon Guardians - Enhanced Edition,game,19.99,2015-11-06 00:00:00,,303.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/409450/header.jpg?t=1503394556
409600,Contract With The Devil,game,5.99,2015-12-11 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/409600/header.jpg?t=1470852569
409660,Angry Video Game Nerd II: ASSimilation,game,9.99,2016-03-29 00:00:00,,442.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/409660/header.jpg?t=1459267996
409730,Death by Game Show,game,9.99,2016-01-22 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/409730/header.jpg?t=1478074373
409910,The Storm Guard: Darkness is Coming,game,19.99,2016-08-25 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/409910/header.jpg?t=1472112584
410150,Swapperoo,game,4.99,2015-12-18 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/410150/header.jpg?t=1460748157
410340,Liftoff,game,19.99,2015-11-09 00:00:00,,509.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/410340/header.jpg?t=1502054129
410380,HEX: Shards of Fate,game,0.0,2016-04-19 00:00:00,87.0,1455.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/410380/header.jpg?t=1499922815
410440,Vertigo Void,game,4.99,2015-10-30 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/410440/header.jpg?t=1465464652
410670,Suits: A Business RPG,game,0.99,2016-01-05 00:00:00,,575.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/410670/header.jpg?t=1493817477
410830,ARENA GODS®,game,,2017-03-10 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/410830/header.jpg?t=1507610438
410970,Master of Orion 1,game,0.0,2016-02-25 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/410970/header.jpg?t=1481191197
411080,SHOWTIME 2073,game,1.99,2016-02-12 00:00:00,,236.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/411080/header.jpg?t=1496934057
411120,Galaxy Admirals,game,1.99,2017-01-17 00:00:00,,190.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/411120/header.jpg?t=1484683510
411370,Melty Blood Actress Again Current Code,game,24.99,2016-04-19 00:00:00,,882.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/411370/header.jpg?t=1478671620
411550,Island Tribe,game,2.99,2015-10-19 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/411550/header.jpg?t=1447378523
411570,Zombie Exodus,game,9.99,2015-10-23 00:00:00,,109.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/411570/header.jpg?t=1486694883
411680,Loot Hound™,game,8.99,2015-11-17 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/411680/header.jpg?t=1484650109
